metric,PR,PC,ML,AD,UP,SP
installed_cost_usd,39362714.70859773,10016988.401182802,3334632.4313730216,52629845.193732195,25278230.8905676,1214000.6339999998
known_operating_cost_usd_per_day,857.912909778443,1653.8648801444497,4203.773257914372,7178.078038961632,8072.181731054588,242.91823268688324
utility_cost_usd_per_day,857.912909778443,591.4570194129402,4203.773257914372,2392.8356147192076,5391.157242661055,242.91823268688324
maintenance_usd_per_day_est,0.0,1062.4078607315096,0.0,4785.242424242425,2681.024488393534,0.0
reagent_usd_per_day,0.0,0.0,0.0,0.0,0.0,0.0
power_kW,457.11472174895727,315.14120812709945,2239.8621365698914,592.1737500000002,2872.5262375645,129.43213591585848
heat_duty_GJph,0.0,0.0,0.0,8.685215000000001,0.0,0.0
