feed_dewatering_moisture,MESP_$/gal,feed_cake_water_wt,ferm_feed_water_wt,ethanol_kg_hr,beer_water_wt
0.55,3.3351824440603632,0.55,0.7874129937683729,8624.692785083307,0.9579437839831567
0.5833333333333334,3.335445526935525,0.5833333333333334,0.7883331981002776,8624.692785124398,0.957943773361959
0.6166666666666667,3.3357539785997945,0.6166666666666667,0.7894033208391835,8624.692785171874,0.9579437610889608
0.65,3.3361206588494605,0.65,0.7906632890405109,8624.692785227358,0.9579437467458758
0.6833333333333333,3.337316614080984,0.6833333333333333,0.794683132515282,8624.692785401436,0.957943701744791
0.7166666666666667,3.3722616709719517,0.7166666666666667,0.8110555660077798,8624.388708867786,0.9610262646403896
0.75,3.431367860166859,0.75,0.8283894313875925,8623.87924340813,0.9652545154217489
0.7833333333333333,3.502655002424634,0.7833333333333333,0.846771969182081,8623.213009359843,0.9695222478447564
0.8166666666666667,3.6080136449855384,0.8166666666666667,0.8663013048866638,8622.304496067394,0.9738299929853514
0.85,3.7505508896911475,0.85,0.8870882011663075,8620.992183378032,0.9781782902624909
