feed_tonne_hr,feed_kg_hr,X_alginate_to_sugars,MESP_$/gal,feed_cake_water_wt,ferm_feed_water_wt,ethanol_kg_hr,beer_water_wt
100.0,100000.0,0.1,7.228896797299655,0.6000000000000001,0.7886916725450308,1019.6742393949224,0.9637318041008
100.0,100000.0,0.19444444444444445,6.945265625447435,0.6000000000000001,0.7886916725450309,1061.512893029568,0.9630104712749042
100.0,100000.0,0.28888888888888886,6.683990717877868,0.6000000000000001,0.7886916725450309,1103.3515465374621,0.9622927921099871
100.0,100000.0,0.3833333333333333,6.439214070823255,0.6000000000000001,0.7886916725450308,1145.1901999195231,0.9615787393840652
100.0,100000.0,0.47777777777777775,6.213305357353861,0.6000000000000001,0.7886916725450309,1187.0288531766603,0.9608682861403531
100.0,100000.0,0.5722222222222222,6.002824043971114,0.6000000000000001,0.7886916725450309,1228.8675063097733,0.9601614056841012
100.0,100000.0,0.6666666666666666,5.798953841537625,0.6000000000000001,0.7886916725450308,1270.7061593197548,0.9594580715794747
100.0,100000.0,0.7611111111111111,5.591483687766949,0.6000000000000001,0.7886916725450308,1318.1602982023728,0.9587582576464787
100.0,100000.0,0.8555555555555555,5.419506847421817,0.6000000000000001,0.7886916725450309,1360.1779500904872,0.9580619379579262
100.0,100000.0,0.95,5.258687327143182,0.6000000000000001,0.7886916725450309,1402.195601857575,0.9573690868364472
200.0,200000.0,0.1,5.711171983868202,0.6000000000000001,0.7887843044108368,2048.0733180803595,0.9638619413559206
200.0,200000.0,0.19444444444444445,5.487232500708144,0.6000000000000001,0.7887843044108368,2132.1086242944893,0.9631398473835445
200.0,200000.0,0.28888888888888886,5.280715022953819,0.6000000000000001,0.7887843044108367,2216.1439302526164,0.9624214113706429
200.0,200000.0,0.3833333333333333,5.085704037407267,0.6000000000000001,0.7887843044108368,2300.179235956595,0.961706606064502
200.0,200000.0,0.47777777777777775,4.907363606650895,0.6000000000000001,0.7887843044108368,2384.214541408253,0.9609954044778737
200.0,200000.0,0.5722222222222222,4.74117934086281,0.6000000000000001,0.7887843044108368,2468.2498466094053,0.9602877798858074
200.0,200000.0,0.6666666666666666,4.585132624845588,0.6000000000000001,0.7887843044108367,2552.285151561848,0.9595837058225297
200.0,200000.0,0.7611111111111111,4.439769815835028,0.6000000000000001,0.7887843044108368,2636.3204562673577,0.9588831560783655
200.0,200000.0,0.8555555555555555,4.303334475428884,0.6000000000000001,0.7887843044108368,2720.3557607276957,0.958186104696703
200.0,200000.0,0.95,4.175448047418091,0.6000000000000001,0.7887843044108368,2804.391064944604,0.9574925259710009
400.0,400000.0,0.1,4.8475762065484,0.6000000000000001,0.788830638112751,4096.14649064683,0.9639272010784334
400.0,400000.0,0.19444444444444445,4.657405623755112,0.6000000000000001,0.7888306381127511,4264.217103769436,0.9632047259405241
400.0,400000.0,0.28888888888888886,4.481935979093968,0.6000000000000001,0.788830638112751,4432.287716378627,0.9624859109140728
400.0,400000.0,0.3833333333333333,4.318433467741017,0.6000000000000001,0.788830638112751,4600.358328478109,0.9617707287309862
400.0,400000.0,0.47777777777777775,4.166979429669271,0.6000000000000001,0.788830638112751,4768.42894007155,0.9610591523887679
400.0,400000.0,0.5722222222222222,4.02582032546326,0.6000000000000001,0.788830638112751,4936.499551162581,0.9603511551473516
400.0,400000.0,0.6666666666666666,3.893428600828121,0.6000000000000001,0.788830638112751,5104.570161754798,0.9596467105259787
400.0,400000.0,0.7611111111111111,3.7699560342098595,0.6000000000000001,0.788830638112751,5272.640771851761,0.9589457923001183
400.0,400000.0,0.8555555555555555,3.654097431441364,0.6000000000000001,0.788830638112751,5440.711381456999,0.9582483744984311
400.0,400000.0,0.95,3.5453785180750654,0.6000000000000001,0.788830638112751,5608.781990574002,0.9575544313997744
625.0,625000.0,0.1,4.497493812395559,0.6,0.7888473195779651,6400.228809644178,0.9639507257637148
