case,include_feed_dewatering,MESP_$/gal,target_ethanol_price_$/gal,target_ethanol_stream_price_$/kg,NPV_at_target_price_$,ethanol_kg_hr,ethanol_gal_hr,ethanol_gal_yr,beer_F_mass_kg_hr,beer_water_wt_frac,ferm_feed_F_mass_kg_hr,ferm_feed_water_wt_frac,annual_utility_cost_$,VOC_$,FOC_$,TCI_$,FCI_$,WC_$,IRR,NPV_break_even_$,product_price_break_even_$_per_kg_stream,tea_duration,project_years,operating_days_per_year
one_dewatering_basecase,True,3.3355933783847425,3.5,1.171993376563146,32683827.131224178,8624.692785147245,2888.023662595578,24287123.792963766,369733.9207064543,0.9579437674551158,453001.8867850745,0.788847319577965,19604930.070095077,34918830.6375086,11242224.859532516,300104991.0935991,285814277.2319991,,0.1,-741558468.1556796,1.1168942874208414,"(2030, 2060)",30,350.3999999999999
no_dewatering,False,2.571598428947176,3.5,1.171993376563146,183694129.6643767,8864.208181942457,2968.226650775259,24961598.84235961,750347.9551460189,0.97793773214494,855683.6003154027,0.887094309075322,9402646.500549689,26504409.85345681,9896275.138628868,239277435.36273673,227883271.77403498,,0.1,-587520334.2979726,0.8610772564317692,"(2030, 2060)",30,350.3999999999999
