ch4_kg_per_kg_vs,breakeven_$_per_MMBtu,biomethane_Nm3_hr,biomethane_kg_hr,ad_feed_vs_kg_hr,digestate_vs_kg_hr,raw_biogas_ch4_molfrac
0.04,60.98244431928371,1251.308308980701,895.5781160287502,45231.21798125001,22615.608990624998,0.5000100088591405
0.045,54.58614012201785,1407.7218476032886,1007.525380532344,45231.21798125001,22615.608990624998,0.5000100088591405
0.05,49.46909676420517,1564.1353862258761,1119.4726450359376,45231.21798125001,22615.608990624998,0.5000100088591406
0.0555,44.90524728291278,1736.1902787107226,1242.6146359898908,45231.21798125001,22615.608990624998,0.5000100088591405
0.0625,40.258418720142345,1955.169232782345,1399.340806294922,45231.21798125001,22615.608990624998,0.5000100088591405
0.07,36.310985272686835,2189.7895407162273,1567.2617030503131,45231.21798125001,22615.608990624998,0.5000100088591405
