feedstock_price,MESP_$/gal
0.0,6.593798568023022
0.01,8.932405641360726
0.02,11.271012714698426
0.03,13.609619788036122
0.04,15.94822686137383
0.05,18.28683393471153
0.06,20.625441008049236
0.07,22.964048081386935
0.08,25.302655154724643
0.09,27.641262228062335
0.1,29.979869301400047
