X_alginate_to_sugars,MESP_$/gal,feed_cake_water_wt,ferm_feed_water_wt,ethanol_kg_hr,beer_water_wt
0.1,4.49749381239556,0.6,0.7888473195779651,6400.228809644178,0.9639507257637148
0.19444444444444445,4.321044360049867,0.6,0.788847319577965,6662.839143038936,0.963228113309575
0.28888888888888886,4.158195648724805,0.6,0.7888473195779651,6925.449475630694,0.9625091617420544
0.3833333333333333,4.00654207750175,0.6,0.7888473195779651,7188.05980742523,0.9617938437875191
0.47777777777777775,3.8659210317362667,0.6,0.7888473195779651,7450.670138428292,0.9610821324379815
0.5722222222222222,3.7349071254270756,0.6,0.788847319577965,7713.280468645549,0.9603740009479309
0.6666666666666666,3.61212122981005,0.6,0.7888473195779651,7975.890798082628,0.9596694228312115
0.7611111111111111,3.4909243462854898,0.6,0.7888473195779651,8238.501126745097,0.9589683718579416
0.8555555555555555,3.383632644480131,0.6,0.788847319577965,8501.111454638467,0.9582708220514774
0.95,3.2829512429197414,0.6,0.7888473195779651,8763.721781768185,0.9575767476854175
