feedstock_price,MESP_$/gal,feed_cake_water_wt,ferm_feed_water_wt,ethanol_kg_hr,beer_water_wt
0.0,3.3355933783847425,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.01,5.513856272519624,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.02,7.692119166654503,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.03,9.870382060789382,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.04,12.048644954924262,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.05,14.226917936281247,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.06,16.405223314217288,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.07,18.583528255568144,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.08,20.761833128089915,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.09,22.94013800511757,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
0.1,25.118442887008975,0.6,0.788847319577965,8624.692785147245,0.9579437674551158
