pretreatment_case,units_in_path,methane_production_kgph,ch4_yield_kg_per_kg_vs_fed_actual,biomethane_stream_kgph,biomethane_ch4_kgph,biomethane_ch4_molpct,raw_biogas_Nm3ph,installed_cost_total_usd,msp_biomethane_usd_per_kg_stream,msp_biomethane_usd_per_kg_ch4,msp_biomethane_usd_per_MMBtu
press_mill_only,5,4523.121798125001,0.1,4962.943945758107,4477.89058014375,96.20141342756182,11490.104950258,121819423.85827056,0.6355019274789797,0.7043406682344973,13.390507000655841
enzymatic,6,5563.439811693751,0.12299999999999998,6104.42105328247,5507.805413576813,96.20141342756185,14132.82908881734,134876629.0651011,0.5709253034487832,0.6327689851993407,12.029828615957047
peroxide,6,7463.1509669062525,0.165,8188.857510500877,7388.519457237189,96.20141342756182,18958.673167925706,139250273.9371395,0.4485614228241973,0.4971504233662017,9.451528961334633
combined_PE,7,12529.047380806254,0.277,13747.354729749954,12403.756906998191,96.20141342756183,31827.590712214664,174805104.63657522,0.34086444788585674,0.3777875134914495,7.182272119609306
combined_PTE,8,11805.347893106253,0.261,12953.28369842866,11687.29441417519,96.20141342756182,29989.17392017338,171960587.6940844,0.39344418203179127,0.43606278140582544,8.290166946878811
