case,vs_destruction,ch4_kg_per_kg_vs,raw_biogas_ch4_molfrac,biomethane_kg_hr,biomethane_nm3_hr,biomethane_mmbtu_hr,biomethane_kg_yr,biomethane_nm3_yr,biomethane_mmbtu_yr,AD_feed_F_mass_kg_hr,AD_feed_TS_kg_hr,AD_feed_VS_kg_hr,digestate_F_mass_kg_hr,digestate_TS_kg_hr,digestate_VS_kg_hr,VS_removed_kg_hr,annual_utility_cost_$,annual_heat_cost_$,FOC_proxy_$,TCI_proxy_$,purchase_cost_proxy_$,annualized_capex_$,total_annual_cost_$,breakeven_$_per_kg_CH4,breakeven_$_per_Nm3,breakeven_$_per_MMBtu,operating_days_per_year,project_years,discount_rate
basecase,0.5,0.0555,0.5000100088591405,1242.6146359898908,1736.1902787107226,58.888563071054556,9841507.917039935,13750627.007388923,466397.41952275205,197391.25000000006,69086.93750000001,45231.21798125001,174775.64100937505,46471.328509375,22615.608990624998,22615.608990625013,3075738.6698779557,412721.41680000006,3848176.322233419,128272544.0744473,128272544.0744473,13607055.046870219,20943691.455781594,2.1280978110599236,1.5231081058723697,44.90524728291278,330.0,30,0.1
low_performance,0.35,0.045,0.5000100088591405,705.2677663726406,985.4052933223019,33.423238499787715,5585720.709671313,7804409.923112631,264712.0489183187,197391.25000000006,69086.93750000001,45231.21798125001,181560.32370656254,53256.0112065625,29400.291687812496,15830.926293437515,2843715.235576312,412721.41680000006,3749178.1648467714,124972605.49489239,124972605.49489239,13257000.04307117,20262614.860294253,3.6275739360206196,2.596303251612509,76.54587293284341,330.0,30,0.1
high_performance,0.6,0.07,0.5000100088591405,1880.7140436603756,2627.7474488594726,89.12863599943395,14895255.225790173,20811759.79496702,705898.7971155168,197391.25000000006,69086.93750000001,45231.21798125001,170252.51921125004,41948.20671124999,18092.48719249999,27138.73078875002,3352732.839355257,412721.41680000006,3965943.5660563135,132198118.86854379,132198118.86854379,14023477.069987463,21754874.892199036,1.460523808583815,1.0453164512046738,30.818688147784105,330.0,30,0.1
