case,unit,line,purchase_cost_$,installed_cost_$,utility_cost_$_per_hr,annual_utility_cost_$
no_dewatering,T205,AmmoniaAdditionTank,826448.153628993,1239672.2304434895,0.8894035006347263,7479.527678937792
no_dewatering,P202,HydrolyzatePump,41428.97423406599,95286.64073835177,9.07481526705948,76315.56646986338
no_dewatering,U_SW2S,Unit,0.0,0.0,0.0,0.0
no_dewatering,M301,EnzymeHydrolysateMixer,164926.45458327318,280374.9727915644,9.63937090074147,81063.25352687546
no_dewatering,H301,HydrolysateHeatExchanger,273375.19123514666,601425.4207173227,0.0,0.0
no_dewatering,U301,Saccharification,18855506.359445743,28893049.008033402,43.42945464137824,365224.3417521344
no_dewatering,T301,StorageTank,563053.6776881898,929038.5681855131,0.0,0.0
no_dewatering,U302,PressureFilter,10936330.262508828,18880116.101004377,293.76831514624615,2470474.0230538715
no_dewatering,S301,Splitter,0.0,0.0,0.0,0.0
no_dewatering,T302,DAPStorageTank,202719.38991318233,362873.1271033933,0.419594304651403,3528.620264396438
no_dewatering,S302,MockSplitter,0.0,0.0,0.0,0.0
no_dewatering,T303,CSLStorageTank,122347.01765458158,291683.16467104846,0.6591867248241438,5543.496681081118
no_dewatering,S303,MockSplitter,0.0,0.0,0.0,0.0
no_dewatering,U303,SeedTrain,525945.9175682598,978381.6401187915,8.188026673391757,68858.0291125553
no_dewatering,T304,SeedHoldTank,731854.0082224578,1310694.543571905,1.9211229357322286,16155.875440333744
no_dewatering,R301,CoFermentation,10237516.428871598,16182074.66214998,28.915063727774854,243164.11992509535
no_dewatering,M302,Mixer,0.0,0.0,0.0,0.0
no_dewatering,U304,VentScrubber,121692.40164350225,292061.76394440536,0.0,0.0
no_dewatering,M303,Mixer,0.0,0.0,0.0,0.0
no_dewatering,T305,BeerTank,1085299.610903219,1947382.6362782088,10.896967900299831,91639.14125436144
no_dewatering,P401,Pump,36085.5782721235,98666.42468673259,7.864838271209217,66140.14392556102
no_dewatering,H401,HXprocess,1114996.546390632,3544050.8171448666,0.0,0.0
no_dewatering,D401,BinaryDistillation,1133209.7006101643,3110830.6848582807,1.8003124713715106,15139.907759245853
no_dewatering,P402,Pump,32559.869381620392,88020.12163982187,6.3184620677385634,53135.73860485421
no_dewatering,M401,Mixer,0.0,0.0,0.0,0.0
no_dewatering,D402,BinaryDistillation,343523.07184188627,958011.6481156619,0.05763851812476983,484.7168820220643
no_dewatering,H402,HXutility,4384.216222196782,6119.0490170433595,0.0,0.0
no_dewatering,U401,MolecularSieve,1503404.0216806426,2706127.2390251565,3.4257890421857473,28809.515529165255
no_dewatering,H403,HXutility,26605.20134568633,85323.0939736791,0.0,0.0
no_dewatering,T401,StorageTank,92503.36818154734,212757.74681755886,0.0,0.0
no_dewatering,P403,Pump,4361.5162520706335,14393.00363183309,0.05393798192260677,453.5968527763538
no_dewatering,T402,StorageTank,52728.006804772194,121274.41565097604,0.0,0.0
no_dewatering,P404,Pump,4002.8426262988773,13209.380666786295,0.001295929565240175,10.898249271843772
no_dewatering,M402,Mixer,0.0,0.0,0.0,0.0
no_dewatering,T403,StorageTank,343654.0518973478,790404.3193638999,0.0,0.0
no_dewatering,P405,Pump,4388.022505554944,14480.474268331314,0.042861532651734875,360.44834498802953
no_dewatering,U_DEHYD,Splitter,0.0,0.0,0.0,0.0
