case,area,purchase_cost_$,installed_cost_$,annual_utility_cost_$
one_dewatering_basecase,pretreatment,23780881.276263844,36446208.28360733,2918736.3202225864
one_dewatering_basecase,fermentation,29738518.36936759,48730168.1370151,2917777.84730232
one_dewatering_basecase,purification,3424900.7252496257,8019331.330043656,98627.37170984875
one_dewatering_basecase,other_system_units,42617016.90098346,59237653.492367,13669788.530860322
no_dewatering,pretreatment,25182624.3764143,38999516.12011268,3406599.1425307756
no_dewatering,fermentation,43820566.72023798,70949155.6085699,3345650.901010704
no_dewatering,purification,4696406.014012544,11763668.418860631,164534.96614788467
no_dewatering,other_system_units,0.0,0.0,2485861.490860323
