unit_id,unit_class,combined_PE,combined_PTE,enzymatic,peroxide,press_mill_only
AD,AnaerobicDigester,52629845.193732195,52629845.193732195,52629845.193732195,52629845.193732195,52629845.193732195
EZ,EnzymaticPretreatment,7280000.0,7280000.0,7280000.0,0.0,0.0
HT,HeatingPretreatment,0.0,1200000.0,0.0,0.0,0.0
ML,Mill,3334632.4313730216,3334632.4313730216,3334632.4313730216,3334632.4313730216,3334632.4313730216
PR,Press,39362714.70859773,39362714.70859773,39362714.70859773,39362714.70859773,39362714.70859773
PX,PeroxidePretreatment,1000000.0,1000000.0,0.0,1000000.0,0.0
SP,DigestateScrewPress,1177212.7359999998,1177212.7359999998,1177212.7359999998,1214000.6339999998,1214000.6339999998
UP,BiogasUpgrading,70020699.56687225,65976182.62438144,31092223.99539815,41709080.969436556,25278230.8905676
