pretreatment_case,unit_id,unit_class,installed_cost_usd,purchase_cost_usd,baseline_purchase_costs_json,design_results_json
peroxide,PX,PeroxidePretreatment,1000000.0,1000000.0,{'Peroxide pretreatment': 1000000.0},"{'Mass flow (kg/h)': 197391.25000000006, 'Slurry flow (m3/h)': 197.39125000000007, 'Residence time (h)': 2.0, 'Reactor volume (m3)': 394.78250000000014, 'Temperature (K)': 298.15, 'Dry feed basis (kg/h)': 69086.93750000001, 'H2O2 addition (kg/h)': 1727.1734375000005, 'H2O2 cost ($/h)': 639.0541718750002, 'Annual maintenance ($/yr)': 35000.0}"
peroxide,AD,AnaerobicDigester,52629845.193732195,52629845.193732195,{'Anaerobic digester': 52629845.193732195},"{'Slurry flow (m3/hr)': 197.39125000000007, 'HRT (days)': 25.0, 'Headspace frac': 0.25, 'Total digester volume (m3)': 157913.00000000003, 'Max single digester (m3)': 5678.117676, 'Number of digesters': 28, 'Digester volume each (m3)': 5639.750000000001, 'Mixing power (kW)': 592.1737500000002, 'Influent T (K)': 298.15, 'Target T (K)': 308.15, 'Heating duty (kJ/h)': 8250954.250000002, 'AD inlet TS (kg/hr)': 69086.93750000001, 'AD inlet VS (kg/hr)': 45231.21798125001, 'Biodegradable pool (kg/hr)': 22933.53226316629, 'Biodegradable destroyed (kg/hr)': 5045.377097896584, 'Methane production (kg/hr)': 7463.1509669062525, 'Organic loading proxy (kg/m3-h)': 0.19363854158653845, 'Methane productivity (kg/m3-h)': 0.06301487500000001, 'CH4 yield (kg/kg VS fed)': 0.165, 'ADBC CAPEX each ($)': 1879637.3283475784, 'ADBC CAPEX total ($)': 52629845.193732195, 'Annual maintenance ($/yr)': 1579130.0000000002}"
peroxide,UP,BiogasUpgrading,41709080.969436556,41709080.969436556,{'Membrane upgrading skid': 41709080.969436556},"{'Raw biogas flow (Nm3/h)': 18958.673167925706, 'Electricity demand (kW)': 4739.668291981427, 'Biomethane CH4 mol%': 96.20141342756182, 'Methane slip (kmol/h)': 4.652123780833051, 'Methane recovery actual': 0.99, 'Annual maintenance ($/yr)': 1459817.8339302796}"
peroxide,SP,DigestateScrewPress,1214000.6339999998,1214000.6339999998,{'Screw press (digestate)': 1214000.6339999998},"{'Throughput_kgph': 192345.87290210347, 'Throughput_tph': 192.34587290210348, 'Capacity_tph_each': 6.0, 'N_screw_presses_parallel': 33, 'Throughput_m3ph': 192.72362176646573, 'kWh_per_m3': 0.67, 'Power_kW': 129.12482658353204, 'Capex_eur_each': 30914.199999999997, 'Capex_usd_each': 36787.897999999994, 'N_parallel': 33, 'Total_purchase_cost_usd': 1214000.6339999998}"
combined_PE,PR,Press,39362714.70859773,39362714.70859773,{'Press system': 39362714.70859773},"{'TS (kg/h)': 82937.50000000003, 'TS (dry ton/h)': 91.42294434979145, 'Capacity (dry ton/day)': 2194.1506643949947, 'Wet throughput (tph)': 625.0000000000001, 'Number of press trains': 13, 'Train throughput (tph)': 48.07692307692309, 'Installed CAPEX ($)': 39362714.70859773}"
combined_PE,ML,Mill,3334632.4313730216,3334632.4313730216,{'Hammer mill': 3334632.4313730216},"{'Dry mass (kg/h)': 81278.75000000006, 'Dry throughput (dry ton/h)': 89.59448546279566, 'Number of mills': 9, 'Mill capacity each (dry ton/h)': 9.954942829199517, 'Purchase cost each ($)': 205841.50810944577, 'Installed cost total ($)': 3334632.4313730216}"
combined_PE,PX,PeroxidePretreatment,1000000.0,1000000.0,{'Peroxide pretreatment': 1000000.0},"{'Mass flow (kg/h)': 197391.25000000006, 'Slurry flow (m3/h)': 197.39125000000007, 'Residence time (h)': 2.0, 'Reactor volume (m3)': 394.78250000000014, 'Temperature (K)': 298.15, 'Dry feed basis (kg/h)': 69086.93750000001, 'H2O2 addition (kg/h)': 1727.1734375000005, 'H2O2 cost ($/h)': 639.0541718750002, 'Annual maintenance ($/yr)': 35000.0}"
combined_PE,EZ,EnzymaticPretreatment,7280000.0,7280000.0,{'Enzymatic pretreatment': 7280000.0},"{'Mass flow (kg/h)': 197391.25000000006, 'Slurry flow (m3/h)': 197.39125000000007, 'Residence time (h)': 24.0, 'Reactor volume (m3)': 4737.390000000001, 'Temperature (K)': 308.15, 'Dry feed basis (kg/h)': 69086.93750000001, 'Enzyme addition (kg/h)': 1381.7387500000002, 'Enzyme cost ($/h)': 9672.171250000001, 'Annual maintenance ($/yr)': 254800.00000000003}"
combined_PE,AD,AnaerobicDigester,52629845.193732195,52629845.193732195,{'Anaerobic digester': 52629845.193732195},"{'Slurry flow (m3/hr)': 197.39125000000007, 'HRT (days)': 25.0, 'Headspace frac': 0.25, 'Total digester volume (m3)': 157913.00000000003, 'Max single digester (m3)': 5678.117676, 'Number of digesters': 28, 'Digester volume each (m3)': 5639.750000000001, 'Mixing power (kW)': 592.1737500000002, 'Influent T (K)': 298.15, 'Target T (K)': 308.15, 'Heating duty (kJ/h)': 8250954.250000002, 'AD inlet TS (kg/hr)': 69086.93750000001, 'AD inlet VS (kg/hr)': 45231.21798125001, 'Biodegradable pool (kg/hr)': 22933.53226316629, 'Biodegradable destroyed (kg/hr)': 8256.071614739863, 'Methane production (kg/hr)': 12529.047380806254, 'Organic loading proxy (kg/m3-h)': 0.19363854158653845, 'Methane productivity (kg/m3-h)': 0.10578860833333334, 'CH4 yield (kg/kg VS fed)': 0.277, 'ADBC CAPEX each ($)': 1879637.3283475784, 'ADBC CAPEX total ($)': 52629845.193732195, 'Annual maintenance ($/yr)': 1579130.0000000002}"
combined_PE,UP,BiogasUpgrading,70020699.56687225,70020699.56687225,{'Membrane upgrading skid': 70020699.56687225},"{'Raw biogas flow (Nm3/h)': 31827.590712214664, 'Electricity demand (kW)': 7956.897678053666, 'Biomethane CH4 mol%': 96.20141342756183, 'Methane slip (kmol/h)': 7.809929013883334, 'Methane recovery actual': 0.99, 'Annual maintenance ($/yr)': 2450724.484840529}"
combined_PE,SP,DigestateScrewPress,1177212.7359999998,1177212.7359999998,{'Screw press (digestate)': 1177212.7359999998},"{'Throughput_kgph': 189135.1783852602, 'Throughput_tph': 189.1351783852602, 'Capacity_tph_each': 6.0, 'N_screw_presses_parallel': 32, 'Throughput_m3ph': 189.51292724962244, 'kWh_per_m3': 0.67, 'Power_kW': 126.97366125724704, 'Capex_eur_each': 30914.199999999997, 'Capex_usd_each': 36787.897999999994, 'N_parallel': 32, 'Total_purchase_cost_usd': 1177212.7359999998}"
combined_PTE,PR,Press,39362714.70859773,39362714.70859773,{'Press system': 39362714.70859773},"{'TS (kg/h)': 82937.50000000003, 'TS (dry ton/h)': 91.42294434979145, 'Capacity (dry ton/day)': 2194.1506643949947, 'Wet throughput (tph)': 625.0000000000001, 'Number of press trains': 13, 'Train throughput (tph)': 48.07692307692309, 'Installed CAPEX ($)': 39362714.70859773}"
combined_PTE,ML,Mill,3334632.4313730216,3334632.4313730216,{'Hammer mill': 3334632.4313730216},"{'Dry mass (kg/h)': 81278.75000000006, 'Dry throughput (dry ton/h)': 89.59448546279566, 'Number of mills': 9, 'Mill capacity each (dry ton/h)': 9.954942829199517, 'Purchase cost each ($)': 205841.50810944577, 'Installed cost total ($)': 3334632.4313730216}"
combined_PTE,PX,PeroxidePretreatment,1000000.0,1000000.0,{'Peroxide pretreatment': 1000000.0},"{'Mass flow (kg/h)': 197391.25000000006, 'Slurry flow (m3/h)': 197.39125000000007, 'Residence time (h)': 2.0, 'Reactor volume (m3)': 394.78250000000014, 'Temperature (K)': 298.15, 'Dry feed basis (kg/h)': 69086.93750000001, 'H2O2 addition (kg/h)': 1727.1734375000005, 'H2O2 cost ($/h)': 639.0541718750002, 'Annual maintenance ($/yr)': 35000.0}"
combined_PTE,HT,HeatingPretreatment,1200000.0,1200000.0,{'Heating pretreatment': 1200000.0},"{'Mass flow (kg/h)': 197391.25000000006, 'Slurry flow (m3/h)': 197.39125000000007, 'Residence time (h)': 0.25, 'Reactor volume (m3)': 49.34781250000002, 'Inlet T (K)': 298.15, 'Target T (K)': 393.15, 'Heating duty (kJ/h)': 78384065.37500001, 'Annual maintenance ($/yr)': 42000.00000000001}"
combined_PTE,EZ,EnzymaticPretreatment,7280000.0,7280000.0,{'Enzymatic pretreatment': 7280000.0},"{'Mass flow (kg/h)': 197391.25000000006, 'Slurry flow (m3/h)': 197.39125000000007, 'Residence time (h)': 24.0, 'Reactor volume (m3)': 4737.390000000001, 'Temperature (K)': 308.15, 'Dry feed basis (kg/h)': 69086.93750000001, 'Enzyme addition (kg/h)': 1381.7387500000002, 'Enzyme cost ($/h)': 9672.171250000001, 'Annual maintenance ($/yr)': 254800.00000000003}"
combined_PTE,AD,AnaerobicDigester,52629845.193732195,52629845.193732195,{'Anaerobic digester': 52629845.193732195},"{'Slurry flow (m3/hr)': 197.39125000000007, 'HRT (days)': 25.0, 'Headspace frac': 0.25, 'Total digester volume (m3)': 157913.00000000003, 'Max single digester (m3)': 5678.117676, 'Number of digesters': 28, 'Digester volume each (m3)': 5639.750000000001, 'Mixing power (kW)': 592.1737500000002, 'Influent T (K)': 298.15, 'Target T (K)': 308.15, 'Heating duty (kJ/h)': 8250954.250000002, 'AD inlet TS (kg/hr)': 69086.93750000001, 'AD inlet VS (kg/hr)': 45231.21798125001, 'Biodegradable pool (kg/hr)': 22933.53226316629, 'Biodegradable destroyed (kg/hr)': 7797.400969476539, 'Methane production (kg/hr)': 11805.347893106253, 'Organic loading proxy (kg/m3-h)': 0.19363854158653845, 'Methane productivity (kg/m3-h)': 0.099678075, 'CH4 yield (kg/kg VS fed)': 0.261, 'ADBC CAPEX each ($)': 1879637.3283475784, 'ADBC CAPEX total ($)': 52629845.193732195, 'Annual maintenance ($/yr)': 1579130.0000000002}"
combined_PTE,UP,BiogasUpgrading,65976182.62438144,65976182.62438144,{'Membrane upgrading skid': 65976182.62438144},"{'Raw biogas flow (Nm3/h)': 29989.17392017338, 'Electricity demand (kW)': 7497.293480043345, 'Biomethane CH4 mol%': 96.20141342756182, 'Methane slip (kmol/h)': 7.358813980590412, 'Methane recovery actual': 0.99, 'Annual maintenance ($/yr)': 2309166.3918533507}"
combined_PTE,SP,DigestateScrewPress,1177212.7359999998,1177212.7359999998,{'Screw press (digestate)': 1177212.7359999998},"{'Throughput_kgph': 189593.84903052356, 'Throughput_tph': 189.59384903052356, 'Capacity_tph_each': 6.0, 'N_screw_presses_parallel': 32, 'Throughput_m3ph': 189.97159789488575, 'kWh_per_m3': 0.67, 'Power_kW': 127.28097058957346, 'Capex_eur_each': 30914.199999999997, 'Capex_usd_each': 36787.897999999994, 'N_parallel': 32, 'Total_purchase_cost_usd': 1177212.7359999998}"
