alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label,group_label,pretreatment_label
0.0,,,-1.1977116072050138,486.719618283595,281.3692229107516,-79.91647995410617,10.718827539457202,11408454.72049541,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.1,-72.91798384568972,-3.835485950283279,-1.5118285100814477,465.1903414698828,277.36288596978613,-80.61425847638996,10.566205179801374,10267609.24844587,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.2,-40.897399880519934,-2.1512032337153486,-1.9078582086339404,443.85412638066396,273.16599171969534,-81.31213916284858,10.406323494083631,9126763.776396329,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.3,-29.766800357721177,-1.565733698816134,-2.3804866913575973,420.69335033992087,270.776328295539,-82.01001862536718,10.315288696972912,7985918.304346777,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.4,-24.954040695404103,-1.3125825405782559,-3.104273720311431,401.5379316312955,264.41914430369366,-82.70786926709658,10.07311025918833,6845072.832297233,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.5,-21.544381103288742,-1.133234446032988,-4.020169933338543,378.9095955394287,261.5022301933164,-83.40576917184751,9.96198972165015,5704227.360247705,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.6,-19.685448599560313,-1.0354545963368724,-5.509941191034237,359.5877778479772,255.3080372610785,-84.10334167956853,9.726020467088706,4563381.888198164,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.7,-18.174505673693034,-0.9559789984362537,-7.91315697561976,338.5565017879171,250.80336220120776,-84.80090487755086,9.554413798141246,3422536.4161486235,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.8,-17.049469784882884,-0.8968021106848397,-12.725687589714465,317.5809310656657,246.21293002896138,-85.49853272795403,9.379540191579482,2281690.944099082,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
0.9,-16.20091957767271,-0.8521683697855845,-27.207745963882935,296.92426956225256,241.3093871428895,-86.19631636757602,9.192738557824361,1140845.472049541,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
1.0,-15.683469674919174,-0.8249505049007485,,278.43008557203103,234.3299095434593,-86.9023638837391,8.926853696893689,0.0,True,pm_tip_bio0,Press and mill | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",Press and mill
