alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label,group_label,pretreatment_label
0.0,,,7.480063200496108,-230.66188013166118,281.36922291075155,19.08352004589384,10.7188275394572,11408454.72049541,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.1,392.13023713451105,20.62605047327528,8.130143496829497,-257.6981299866328,277.36288596978613,18.38574152361005,10.566205179801374,10267609.24844587,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.2,191.6267105685468,10.079564975905562,8.93936029722666,-284.4797241277397,273.1659917196953,17.687860837151437,10.40632349408363,9126763.776396329,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.3,125.2492732552799,6.588111773227723,10.016334456621134,-313.66832487000215,270.776328295539,16.98998137463285,10.315288696972912,7985918.304346777,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.4,91.30801448679456,4.802801562005394,11.358684282236306,-337.57294652536115,264.41914430369366,16.292130732903434,10.07311025918833,6845072.832297233,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.5,71.46526342343766,3.759072856072821,13.335379740807038,-366.0591462412448,261.5022301933164,15.594230828152511,9.96198972165015,5704227.360247705,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.6,57.82258813431641,3.0414681358650433,16.18449579760116,-390.18318708659206,255.3080372610785,14.896658320431486,9.726020467088706,4563381.888198164,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.7,48.26095431310429,2.538526196869286,21.012758978396295,-416.5575241147739,250.80336220120776,14.19909512244914,9.554413798141246,3422536.4161486235,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.8,41.0815576214805,2.160889930889874,30.66318628004215,-442.81710075154774,246.2129300289614,13.50146727204598,9.379540191579483,2281690.944099082,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
0.9,35.4711046612364,1.8657801051810348,59.570001570235604,-468.65834603842694,241.3093871428895,12.803683632423997,9.192738557824361,1140845.472049541,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
1.0,30.821351986715623,1.6212031145012418,,-491.6653004257254,234.3299095434593,12.09763611626091,8.926853696893689,0.0,True,pm_feed0_bio0,Press and mill | feed $0/kg | biostim $0/kg,"Feed $0/kg
Biostim $0/kg",Press and mill
