alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name
0.0,,,-4.986620942216543,548.032530358424,283.77065587454706,-80.4365403687855,10.810310699982745,13350319.35377123,True,best_case
0.1,-321.7080591993058,-16.921843913883485,-5.699870491591749,565.7398460014502,279.721734207556,-81.0822662472665,10.656066065049753,12015287.418394106,True,best_case
0.2,-165.6933231623914,-8.715468798341789,-6.605269985525866,584.3709587122163,274.75850655214435,-81.72810177259001,10.466990725795975,10680255.483016983,True,best_case
0.3,-113.08487282242193,-5.948264310459393,-7.728109828943773,600.5928332792577,272.18156983435904,-82.37392599451574,10.368821707975581,9345223.547639847,True,best_case
0.4,-87.47344138085859,-4.601103016633162,-9.29887716022403,620.5021477276321,265.9533838304761,-83.0199301433681,10.131557479256234,8010191.612262721,True,best_case
0.5,-71.61607222499958,-3.7670053990349786,-11.419735770171638,637.1480052641255,262.95678568425916,-83.66579944657451,10.017401359400347,6675159.676885615,True,best_case
0.6,-61.50824894989954,-3.235333894764716,-14.711947937196289,657.4962229571656,256.2907781937471,-84.31133422920746,9.763458216904649,5340127.741508491,True,best_case
0.7,-54.06959852874647,-2.844060882612064,-20.11756841957432,675.806703834229,251.64346257234024,-84.95691480416906,9.586417621803438,4005095.806131367,True,best_case
0.8,-48.523640662701396,-2.5523434988580935,-30.94987690661831,694.4687755844928,246.64771236586347,-85.60246774194455,9.39610332822337,2670063.8707542457,True,best_case
0.9,-44.216823336767845,-2.3258049075139886,-63.45642550240064,713.2112394813432,241.57387843940003,-86.24825576422344,9.202814416739049,1335031.9353771228,True,best_case
1.0,-40.939933486444936,-2.1534405013870037,,734.1998504142446,234.3299095434593,-86.9023638837391,8.926853696893689,0.0,True,best_case
