alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label
0.0,,,5.62554810414819,-54.2166899959094,279.8936523389643,25.04782859451617,10.66261532719864,11408454.72049541,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.1,109.33732945532455,5.751143529350071,6.279370525317968,-88.34561182588044,286.7370837957064,24.78717251759815,10.92331747793167,10267609.24844587,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.2,53.693329878107185,2.824269151588438,6.938258947107189,-111.79108643956829,284.6312869109878,24.526414275017867,10.843096644228106,9126763.776396329,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.3,35.30456902380459,1.8570203306521216,7.820675862908042,-137.55941725316458,284.26953871623266,24.265657254377306,10.829315760618387,7985918.304346777,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.4,25.857019782685434,1.3600792405692539,8.909993066675467,-158.40370424558148,280.2107604700312,24.004890612739676,10.67469563695357,6845072.832297233,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.5,20.347364259013197,1.0702713600240943,10.51715603711961,-183.11054867928428,279.0519090725845,23.74415161302497,10.630548917050838,5704227.360247705,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.6,16.535145779327596,0.8697486679926315,12.820041901545647,-203.7588385076358,274.8439748713602,23.483701540939922,10.470246661766105,4563381.888198164,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.7,13.875338236961557,0.729842791264178,16.734414478099033,-226.55845253671092,272.25124804198623,23.223260770973255,10.371476115885189,3422536.4161486235,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.8,11.876790609137412,0.6247191860406279,24.555526399673912,-249.2144415849357,269.55109197577497,22.96275533198631,10.26861302764857,2281690.944099082,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
0.9,10.30969412960708,0.5422899112173324,47.95991973615015,-271.3159220738061,266.43558042234,22.70209404730048,10.149926873232001,1140845.472049541,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
1.0,8.98416478893672,0.47256706789807146,,-289.92238221161654,260.7480606112671,22.43316602474459,9.933259451857793,0.0,True,near_zero_combined_PE_base,Near-zero feed | combined_PE | biostim $0.50/kg
