alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label,group_label,pretreatment_label
0.0,,,-1.1977116072050138,486.719618283595,281.3692229107516,-79.91647995410617,10.718827539457202,11408454.72049541,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.1,-21.745220222404008,-1.1437985836984508,-1.2488533935420936,455.4297325466204,287.9003555612496,-79.5807054855416,10.967632592809508,10267609.24844587,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.2,-11.383461286559719,-0.5987700636730412,-1.4709723218847153,433.1642399811117,285.4934426596314,-79.24503318115184,10.875940672747863,9126763.776396329,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.3,-7.76572183679367,-0.40847696861534705,-1.720264402211509,409.08732234523654,284.8807494126786,-78.90935965282206,10.852599977625852,7985918.304346777,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.4,-6.229032695087724,-0.3276471197616143,-2.1464437352711143,389.0232141117684,280.2931542764736,-78.57365730370311,10.677834448627566,6845072.832297233,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.5,-5.118844676302611,-0.26925122997351736,-2.6458310523735853,365.4602297938418,279.14081587017694,-78.23800421760566,10.633935842673406,5704227.360247705,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.6,-4.52841107690278,-0.23819442264508625,-3.510971147644631,345.2047636436962,274.7074695566168,-77.90202373447832,10.465046459299687,4563381.888198164,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.7,-4.040674116676744,-0.21253945853719675,-4.8732733058190645,323.2369986830969,271.96070811576715,-77.5660339416123,10.360407928219699,3422536.4161486235,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.8,-3.6779033668452907,-0.1934577170960623,-7.604146287679508,301.34222615727066,269.12579365500227,-77.23010880116709,10.252411186857229,2281690.944099082,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
0.9,-3.40536831991064,-0.17912237362729966,-15.841516658183068,279.707779390809,265.9757568122826,-76.89433944994072,10.132409783325052,1140845.472049541,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
1.0,-3.2456511699057806,-0.17072125153704407,,260.2570586884137,260.7480606112671,-76.56683397525542,9.933259451857792,0.0,True,pe_tip_bio0,PE | tipping fee | biostim $0/kg,"Tipping fee
Biostim $0/kg",PE
