alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label
0.0,,,-3.052226655054503,627.0253992229136,279.8936523389642,-73.95217140548384,10.662615327198637,11408454.72049541,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.1,-174.86753872496584,-9.198032536933203,-3.6255765256982238,609.1387091428919,276.19961420424295,-75.24638047325024,10.52189006492354,10267609.24844587,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.2,-93.1587962246739,-4.900152681417848,-4.345845325202642,591.456370771734,272.3038359710517,-76.54069170667888,10.373479465563873,9126763.776396329,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.3,-65.47816624330953,-3.444151544398081,-5.236367410791186,572.0001233072887,270.1651175990931,-77.83500171816782,10.29200447996545,7985918.304346777,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.4,-52.33772887911337,-2.7529645390413635,-6.510794717511991,556.2689530797994,264.33675049725133,-79.12932135065381,10.069971447514334,6845072.832297233,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.5,-44.01262479400092,-2.3150640641644484,-8.212732128895704,537.6048160603235,261.4133233957239,-80.42361334121688,9.958602796027579,5704227.360247705,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.6,-38.84743209446561,-2.043374928168891,-10.87336492133496,522.0133046553887,255.444542575822,-81.71761640415029,9.731220669555125,4563381.888198164,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.7,-34.98261112286794,-1.8400853450628534,-15.231385007241617,504.7880815472414,251.09390212742687,-83.01161016496533,9.565481985806738,3422536.4161486235,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.8,-32.093992606209184,-1.688144011086603,-23.95488707662645,487.6693276350997,246.63822834973408,-84.30566859480065,9.395742032370821,2281690.944099082,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
0.9,-29.882221267461556,-1.571804838668478,-50.18405783595818,470.9689135561716,241.76921075294692,-85.59988287033485,9.21025564773131,1140845.472049541,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
1.0,-28.311701800467713,-1.4891955147046017,,456.91827642428547,234.3299095434593,-86.9023638837391,8.926853696893689,0.0,True,tipping_fee_press_mill_base,Tipping fee | press_mill_only | biostim $0.50/kg
