alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name,scenario_label
0.0,,,3.2691268090465346,143.4068060750486,279.8936523389642,25.04782859451617,10.662615327198637,11408454.72049541,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.1,163.89835890342874,8.621053678320353,3.398149519193159,124.46602156842711,276.1996142042429,23.75361952674979,10.52189006492354,10267609.24844587,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.2,76.22415160565514,4.00939037445746,3.555846429402844,105.6236383805888,272.3038359710517,22.459308293321136,10.373479465563873,9126763.776396329,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.3,47.44379854964013,2.4955438037110707,3.7941374174458082,84.71120444446498,270.1651175990931,21.164998281832208,10.29200447996545,7985918.304346777,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.4,32.35374451243358,1.7018069613540063,4.024794223490837,67.90248570123045,264.3367504972512,19.870678649346203,10.06997144751433,6845072.832297233,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.5,23.740553850410688,1.2487531325316021,4.429974587464781,47.62358342353801,261.4133233957239,18.576386658783143,9.958602796027579,5704227.360247705,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.6,17.61354658464521,0.9264725503523381,4.930017487592573,30.808503187559534,255.44454257582197,17.282383595849723,9.731220669555123,4563381.888198164,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.7,13.41251677101132,0.7054983821551954,5.839792979941813,11.910745778778699,251.09390212742687,15.988389835034683,9.565481985806738,3422536.4161486235,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.8,10.251742077318642,0.5392416332669606,7.651878244446158,-7.059287216168348,246.63822834973408,14.694331405199367,9.395742032370821,2281690.944099082,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
0.9,7.758433916077536,0.4080936239856784,13.029476385841953,-25.739015420707283,241.76921075294692,13.400117129665167,9.21025564773131,1140845.472049541,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
1.0,5.564887908071588,0.29271310396456557,,-41.41760354336149,234.3299095434593,12.09763611626091,8.926853696893689,0.0,True,near_zero_press_mill_biostim_high,Near-zero feed | press_mill_only | biostim $1.00/kg
