alpha,TCI_M,VOC_M_per_yr,FOC_M_per_yr,annualized_capital_M_per_yr,methane_kgph,methane_MMBtu_per_yr,microbial_oil_t_per_yr,biostimulant_t_per_yr
0.0,281.3692229107516,19.083520045893838,10.718827539457202,33.04952334563967,0.0,0.0,11408.45472049541,53766.25054352269
0.1,277.36288596978613,18.385741523610054,10.566205179801374,32.57894051184147,511.0063367928755,212881.1518572176,10267.60924844587,53766.25054352269
0.2,273.1659917196953,17.687860837151437,10.406323494083628,32.08597488801575,1022.012673585751,425762.3037144352,9126.763776396328,53766.25054352269
0.3,270.776328295539,16.98998137463285,10.315288696972912,31.805285918881673,1533.019010378624,638643.4555716518,7985.9183043467765,53766.25054352269
0.4,264.4191443036937,16.292130732903434,10.073110259188331,31.058573472589494,2044.025347171502,851524.6074288704,6845.072832297233,53766.25054352269
0.5,261.5022301933164,15.594230828152508,9.96198972165015,30.71595383569083,2555.031683964378,1064405.7592860882,5704.227360247705,53766.25054352269
0.6,255.3080372610785,14.89665832043149,9.726020467088706,29.988386258101414,3066.038020757248,1277286.9111433036,4563.381888198164,53766.25054352269
0.7,250.8033622012078,14.19909512244914,9.55441379814125,29.45926881584675,3577.0443575501236,1490168.0630005212,3422.5364161486236,53766.25054352269
0.8,246.21293002896138,13.501467272045979,9.379540191579482,28.92007837535087,4088.050694343004,1703049.2148577408,2281.690944099082,53766.25054352269
0.9,241.30938714288948,12.803683632423999,9.19273855782436,28.344110067896775,4599.057031135881,1915930.3667149588,1140.845472049541,53766.25054352269
1.0,234.3299095434593,12.09763611626091,8.926853696893689,27.52430324795932,5110.063367928756,2128811.5185721763,0.0,53766.25054352269
