alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name
0.0,,,9.844485031335198,-984.7728791121136,283.7706558745471,117.56345963121453,10.810310699982747,13350319.35377123,True,biostim
0.1,608.388378962114,32.001228733407196,10.779136143820221,-962.1402603068288,279.7217342075561,116.91773375273353,10.656066065049755,12015287.418394106,True,biostim
0.2,299.3548958445689,15.746067521424324,11.93361247637261,-938.2889838604128,274.7585065521444,116.27189822741002,10.466990725795977,10680255.483016983,True,biostim
0.3,196.94727314715473,10.35942656754034,13.459184410829701,-917.6160314087438,272.18156983435904,115.62607400548428,10.368821707975583,9345223.547639847,True,biostim
0.4,145.05066804332782,7.6296651390790435,15.419632780544658,-892.0785786013382,265.9533838304762,114.98006985663193,10.131557479256236,8010191.612262721,True,biostim
0.5,114.40321528739405,6.017609124116927,18.242476154452465,-870.8463130499406,262.95678568425916,114.33420055342552,10.017401359400349,6675159.676885615,True,biostim
0.6,93.507823934538,4.9185115389566985,22.36581695840467,-844.7296816297346,256.2907781937471,113.68866577079257,9.76345821690465,5340127.741508491,True,biostim
0.7,78.80132105713615,4.144949487605362,29.319451430306966,-821.3013004736084,251.64346257234024,113.04308519583097,9.586417621803438,4005095.806131367,True,biostim
0.8,67.73841394738896,3.5630405736326596,43.205652850627025,-797.4090819355791,246.64771236586344,112.39753225805548,9.39610332822337,2670063.8707542457,True,biostim
0.9,59.127225180545686,3.110092044496703,84.85463397622784,-773.4108913493006,241.57387843940003,111.75174423577658,9.202814416739049,1335031.9353771228,True,biostim
1.0,52.069710149633316,2.7388667538707123,,-746.4524751289896,234.3299095434593,111.09763611626093,8.926853696893689,0.0,True,biostim
