alpha,msp_biomethane_mmbtu,msp_biomethane_ch4,msp_oil_usd_per_kg,combined_npv_M,tci_M,voc_M,foc_M,oil_kg_yr,ok,scenario_name
0.0,,,11.858154113399435,-1210.5891785004412,283.77065587454706,117.56345963121453,10.810310699982745,13350319.35377123,True,base
0.1,734.6706969773554,38.6436786610089,13.01654623499531,-1187.9565596951572,279.7217342075561,116.91773375273353,10.656066065049757,12015287.418394106,True,base
0.2,362.49605485148834,19.067292485188286,14.450698828916629,-1164.105283248741,274.7585065521444,116.27189822741002,10.466990725795977,10680255.483016983,True,base
0.3,239.04137915214747,12.573576543402957,16.33585452804882,-1143.4323307970715,272.18156983435904,115.62607400548428,10.368821707975583,9345223.547639847,True,base
0.4,176.62124754636557,9.290277620938829,18.775747917225168,-1117.894877989666,265.9533838304761,114.98006985663193,10.131557479256234,8010191.612262721,True,base
0.5,139.65967888996082,7.34609910961194,22.269814318490845,-1096.6626124382688,262.95678568425916,114.33420055342552,10.017401359400349,6675159.676885615,True,base
0.6,114.55487693610576,6.025586526839163,27.399989663316013,-1070.5459810180625,256.2907781937471,113.68866577079257,9.76345821690465,5340127.741508491,True,base
0.7,96.84165220116294,5.093870905781171,36.031681703457295,-1047.1175998619365,251.64346257234024,113.04308519583097,9.586417621803438,4005095.806131367,True,base
0.8,83.52370369820535,4.393346814525602,53.27399826022046,-1023.2253813239068,246.64771236586344,112.39753225805548,9.39610332822337,2670063.8707542457,True,base
0.9,73.15859384773874,3.848142036391058,104.99132479512873,-999.2271907376286,241.57387843940003,111.75174423577658,9.202814416739049,1335031.9353771228,True,base
1.0,64.6979419496671,3.4031117465524896,,-972.2687745173176,234.3299095434593,111.09763611626093,8.926853696893689,0.0,True,base
